ID,ACCESSION,NAME,TAXONOMY,ORIGIN,AMYLOSE,KERNEL LENGTH/WIDTH RATIO,LENGTH OF KERNEL,SALT TOLERANCE,WIDTH OF KERNEL,LEAF BLADE COLOR,PLANT HEIGHT 1
1029768,CIor 4966,Cadacay,Oryza sativa L.,"Western Visayas (Region VI), Philippines",22,2.8,7,0.09,2.5,0,0
1029827,CIor 4992,Mal Wit,Oryza sativa L.,"Ilocos (Region I), Philippines",16,2.6,6.6,0,2.5,0,0
1029873,CIor 5005,Gpno 1721,Oryza sativa L.,"Negros, Philippines",24,2.8,7,0,2.5,0,0
1030212,CIor 5094,Sinampaga,Oryza sativa L.,"Central Luzon (Region III), Philippines",23,3.5,7,0.12,2,0,0
1030487,CIor 5173,Gpno 1744,Oryza sativa L.,"Western Visayas (Region VI), Philippines",22,3,7.5,0.69,2.5,0,0
1030562,CIor 5195,Sinampablo,Oryza sativa L.,"Central Luzon (Region III), Philippines",19,2.9,7,0,2.4,0,0
1030567,CIor 5196,WC 4323,Oryza sativa L.,Philippines,16,3.7,7.2,0.78,2,0,0
1030600,CIor 5205,WC 3243,Oryza sativa L.,"Western Visayas (Region VI), Philippines",22,3,7.5,0.15,2.5,0,0
1030698,CIor 5230,Reping,Oryza sativa L.,Philippines,24,2.6,6.5,1.2,2.5,0,0
1030759,CIor 5249,Coray 4,Oryza sativa L.,Honduras,24,2.5,7.5,0,3,0,0
1030780,CIor 5256,Arroz en Granza,Oryza sativa L.,Guatemala,24,2.5,5,0,2,0,0
1030985,CIor 5303,WC 756,Oryza sativa L.,"Louisiana, United States",17,2,6,0,3,0,0
1030988,CIor 5304,WC 757,Oryza sativa L.,"Louisiana, United States",21,2.5,7.5,0.83,3,0,0
1031023,CIor 5309,WC 6,Oryza sativa L.,"Jiangsu Sheng, China",0,2.7,8,0.37,3,0,0
1031026,CIor 5310,WC 7,Oryza sativa L.,"Jiangsu Sheng, China",26,3.3,6.5,0,2,0,0
1031140,CIor 5330,WC 8,Oryza sativa L.,"Jiangsu Sheng, China",24,2.2,5.7,0,2.6,0,0
1031164,CIor 5335,WC 9,Oryza sativa L.,"Jiangsu Sheng, China",21,3.2,8,0.97,2.5,0,0
1031185,CIor 5339,WC 10,Oryza sativa L.,"Jiangsu Sheng, China",25,2.6,6.5,0,2.5,0,0
1478759,CIor 5343,WC 5343,Oryza sativa L.,"Jiangsu Sheng, China",24,1.7,5,0,3,0,0
1031321,CIor 5361,WC 758,Oryza sativa L.,United States,23,2.4,6,0,2.5,0,0
1031439,CIor 5390,Jimoca,Oryza sativa L.,Peru,15,2.6,6.7,0.48,2.6,0,0
1031444,CIor 5391,Carolina,Oryza sativa L.,Peru,22,2.8,6.7,0,2.4,0,0
1031721,CIor 5451,'Lady Wright',Oryza sativa L.,"Louisiana, United States",19,2.8,7,0.37,2.5,0,0
1031833,CIor 5476,WC 17,Oryza sativa L.,"Jiangsu Sheng, China",30,3,6,0,2,0,0
1031855,CIor 5481,WC 3900,Oryza sativa L.,"Jiangsu Sheng, China",18,3.3,7.6,0,2.3,0,0
1031875,CIor 5486,WC 19,Oryza sativa L.,"Jiangsu Sheng, China",38,2.4,6,0,2.5,0,0
1032181,CIor 5548,Tung Ting Yellow,Oryza sativa L.,"Jiangsu Sheng, China",19,1.7,5,0.2,3,0,0
1032194,CIor 5550,'Mortgage Lifter',Oryza sativa L.,"Indiana, United States",24,3.4,7.4,0.4,2.2,0,0
1033371,CIor 5793,'Blue Rose Supreme',Oryza sativa L.,"Louisiana, United States",14,2.2,6.5,0,3,0,0
1033384,CIor 5796,Gpno 1883,Oryza sativa L.,"Louisiana, United States",18,4,8,0,2,0,0
1033392,CIor 5798,WC 4431,Oryza sativa L.,Panama,21,2.6,6.5,0.1,2.5,0,0
1033786,CIor 5883,'Early Prolific',Oryza sativa L.,"Louisiana, United States",15,2,6,0.2,3,0,0
1033907,CIor 5905,Arroz Creollo,Oryza sativa L.,"Chiapas, Mexico",25,3.8,7.5,0,2,0,0
1035247,CIor 6135,WC 24,Oryza sativa L.,China,0,1.8,4.9,0.49,2.7,0,0
1035750,CIor 6221,'Watkins Early Money Maker',Oryza sativa L.,"Louisiana, United States",23,2.6,6.1,0,2.4,0,0
1036302,CIor 6332,CI 6332,Oryza sativa L.,"Totigi, Japan",24,3,6.3,0,2.1,0,0
1036357,CIor 6346,Mubo Aikoku No. 22,Oryza sativa L.,"Hukusima, Japan",20,1.7,5,2.91,3,0,0
1036395,CIor 6355,Gin Bozu,Oryza sativa L.,"Hukusima, Japan",18,1.7,5,0,3,0,0
1036615,CIor 6421,Ishijiro,Oryza sativa L.,"Akita, Japan",20,1.7,5,0,3,0,0
1036652,CIor 6435,Kameji,Oryza sativa L.,"Akita, Japan",18,1.8,5.5,0.86,3,0,0
1036707,CIor 6468,WC 4726,Oryza sativa L.,"Akita, Japan",21,1.7,5,0,3,0,0
